Time,Signal,Channel,Sample
0.0,0.0,2475ChA ex488/em509,Nedd4-2
0.008333333,0.004284668,2475ChA ex488/em509,Nedd4-2
0.01666667,0.01766052,2475ChA ex488/em509,Nedd4-2
0.025,0.04129333,2475ChA ex488/em509,Nedd4-2
0.03333333,0.08309021,2475ChA ex488/em509,Nedd4-2
0.04166667,0.1469574,2475ChA ex488/em509,Nedd4-2
0.05,0.23289490000000002,2475ChA ex488/em509,Nedd4-2
0.05833333,0.3395355,2475ChA ex488/em509,Nedd4-2
0.06666667,0.46062929999999996,2475ChA ex488/em509,Nedd4-2
0.075,0.588559,2475ChA ex488/em509,Nedd4-2
0.08333333,0.7143401999999999,2475ChA ex488/em509,Nedd4-2
0.09166667,0.8287933000000001,2475ChA ex488/em509,Nedd4-2
0.1,0.9258636,2475ChA ex488/em509,Nedd4-2
0.10833330000000001,1.001059,2475ChA ex488/em509,Nedd4-2
0.1166667,1.055356,2475ChA ex488/em509,Nedd4-2
0.125,1.091293,2475ChA ex488/em509,Nedd4-2
0.1333333,1.116098,2475ChA ex488/em509,Nedd4-2
0.1416667,1.132309,2475ChA ex488/em509,Nedd4-2
0.15,1.1428559999999999,2475ChA ex488/em509,Nedd4-2
0.15833329999999998,1.154965,2475ChA ex488/em509,Nedd4-2
0.1666667,1.168051,2475ChA ex488/em509,Nedd4-2
0.175,1.179184,2475ChA ex488/em509,Nedd4-2
0.18333329999999998,1.1891450000000001,2475ChA ex488/em509,Nedd4-2
0.19166670000000002,1.198715,2475ChA ex488/em509,Nedd4-2
0.2,1.206528,2475ChA ex488/em509,Nedd4-2
0.2083333,1.212387,2475ChA ex488/em509,Nedd4-2
0.2166667,1.216684,2475ChA ex488/em509,Nedd4-2
0.225,1.220004,2475ChA ex488/em509,Nedd4-2
0.23333330000000002,1.2231290000000001,2475ChA ex488/em509,Nedd4-2
0.24166669999999998,1.226645,2475ChA ex488/em509,Nedd4-2
0.25,1.227817,2475ChA ex488/em509,Nedd4-2
0.2583333,1.2285979999999999,2475ChA ex488/em509,Nedd4-2
0.2666667,1.227817,2475ChA ex488/em509,Nedd4-2
0.275,1.224887,2475ChA ex488/em509,Nedd4-2
0.2833333,1.2202,2475ChA ex488/em509,Nedd4-2
0.2916667,1.214926,2475ChA ex488/em509,Nedd4-2
0.3,1.208481,2475ChA ex488/em509,Nedd4-2
0.30833330000000003,1.202231,2475ChA ex488/em509,Nedd4-2
0.31666669999999997,1.196762,2475ChA ex488/em509,Nedd4-2
